g_00_4_regterson,nMen,nMen_ethn_nonmissing,nRusMen,nRusUkrBelMen,percRus,percRusUkrBel,nMen_4_50,nMen_ethn_nonmissing_4_50,nRusMen_4_50,nRusUkrBelMen_4_50,percRus_4_50,percRusUkrBel_4_50,nMen_8_32,nMen_ethn_nonmissing_8_32,nRusMen_8_32,nRusUkrBelMen_8_32,percRus_8_32,percRusUkrBel_8_32,regName,regNameEng,regNameISO
11000,515905,504640,484410,494845,95.99120164870007,98.05901236525048,346755,338595,328800,332795,97.10716342533115,98.28703908799599,180120,176065,173090,173880,98.3102831340698,98.75898105813195,Архангельская область,Arkhangelsk,ARK
11800,20180,19170,12795,13515,66.74491392801252,70.50078247261345,14850,14160,9385,9850,66.27824858757062,69.56214689265536,7980,7495,4990,5165,66.57771847898599,68.91260840560373,Ненецкий автономный округ,Nenets,NEN
71000,607790,575480,477250,487155,82.9307708347814,84.65194272607215,419640,395810,328395,333405,82.96783810414088,84.2335969278189,230550,217570,183230,184900,84.21657397619157,84.98414303442571,Тюменская область,Tyumen,TYU
71800,744345,691500,463185,515955,66.9826464208243,74.61388286334056,561080,520655,347815,382985,66.80335346822753,73.55830636409907,294435,273900,190185,202935,69.43592552026287,74.0909090909091,Ханты-Мансийский автономный округ - Югра,Khanty-Mansi,KHM
71900,254955,245470,150890,177465,61.4698333808612,72.29600358495946,196425,189385,116900,135635,61.72611347255591,71.61866040077092,99985,96460,61765,68475,64.03172299398715,70.98797428986107,Ямало-Ненецкий автономный округ,Yamalo-Nenets,YAN
1000000,1085590,1065265,996070,1011835,93.50443316921142,94.98434661797769,711520,696815,657990,663590,94.42821982879244,95.23187646649399,379175,371010,354030,355505,95.42330395407132,95.82086736206571,Алтайский край,Altai Krai,ALT
3000000,2372655,2323190,2027825,2067780,87.2862314317813,89.00606493657428,1577230,1542305,1354145,1370080,87.80007845400229,88.83327227753264,843840,824505,730210,734615,88.56344109496,89.09770104486935,Краснодарский край,Krasnodar,KDA
4000000,1205230,1160785,1047405,1067815,90.23247199093717,91.99076487032482,838235,805345,731180,741165,90.790903277477355,92.03074458772328,456570,438805,405495,407810,92.40892879525073,92.93649798885609,Красноярский край,Krasnoyarsk,KYA
5000000,847395,775080,713855,735590,92.10081539970068,94.90504206017444,578085,525290,488605,496780,93.01623864912715,94.57252184507605,300715,274365,259565,261205,94.60572594900954,95.2034698303355,Приморский край,Primorsky,PRI
7000000,1258220,1244925,991105,1005645,79.61162319015202,80.77956503403819,864440,854510,672540,678670,78.70475477174053,79.42212496050368,483535,477470,375305,377410,78.60284415774814,79.04370955243262,Ставропольский край,Stavropol,STA
8000000,595440,567455,518520,532385,91.37640870201162,93.81977425522729,412155,392065,360645,366785,91.98602272582352,93.5520895769834,221740,211450,197290,198580,93.30338141404587,93.91345471742729,Хабаровский край,Khabarovsk,KHA
10000000,372695,368865,346650,355190,93.97747143263796,96.292681604381,257795,254870,241260,245130,94.66002275669949,96.17844391258289,137600,136010,131355,132180,96.57745753988677,97.18403058598632,Амурская область,Amur,AMU
