id,firstName,lastName,region,birthYear,deathConfirmedDate,source
104221,removed,removed,North Ossetia,1992,2022-02-25,
102260,removed,removed,Nizhny Novgorod,1990,2022-02-26,https://archive.ph/UfrKY
103596,removed,removed,Dagestan,1996,2022-02-26,https://archive.ph/LE8Up https://archive.ph/qYhsU (5)
102934,removed,removed,Pskov,1989,2022-02-27,https://archive.ph/6Qvgr https://archive.ph/wip/M7vWv
103854,removed,removed,Kalmykia,1993,2022-02-27,https://archive.ph/D3MLc
104816,removed,removed,Samara,1981,2022-02-27,https://archive.ph/APzO0
101913,removed,removed,Kursk,1984,2022-02-28,https://archive.ph/uHP6t https://archive.ph/7RvGy https://archive.ph/6O6cD
102678,removed,removed,Penza,,2022-02-28,https://archive.ph/GDtMFhttps://archive.ph/7jtcI https://archive.ph/9oNd6
103715,removed,removed,Dagestan,,2022-02-28,https://archive.ph/wip/1xeIY https://archive.ph/i1be4
103821,removed,removed,Ingushetia,,2022-02-28,https://archive.ph/WRllR
103825,removed,removed,Ingushetia,1994,2022-02-28,https://archive.ph/oQ4sM
103829,removed,removed,Ingushetia,1998,2022-02-28,https://archive.is/0IdDQ
103830,removed,removed,Ingushetia,1987,2022-02-28,
103833,removed,removed,Ingushetia,1990,2022-02-28,https://archive.ph/HIxhj
103837,removed,removed,Ingushetia,1987,2022-02-28,
103841,removed,removed,Ingushetia,1982,2022-02-28,
105972,removed,removed,Chelyabinsk,1985,2022-02-28,https://archive.ph/wip/KfiYB https://archive.ph/wip/pPhCI https://archive.ph/1RxNy
100279,removed,removed,Astrakhan,1982,2022-03-01,https://archive.ph/cM6ys https://archive.ph/006mt https://archive.ph/pKfyL https://archive.ph/TpKdg
100369,removed,removed,Bryansk,1995,2022-03-01,https://archive.ph/jkeoD https://archive.ph/r9tBk
100398,removed,removed,Bryansk,1989,2022-03-01,https://archive.ph/IC4gx https://archive.ph/zGj2h https://archive.ph/b8jEj https://archive.ph/UqPVC https://archive.ph/OUNNN https://archive.ph/wz6ti
100418,removed,removed,Bryansk,1997,2022-03-01,https://archive.ph/IC4gx https://archive.ph/GLqrW https://archive.ph/IQKtk
100503,removed,removed,Volgograd,1999,2022-03-01,https://archive.ph/wip/t08bD
100577,removed,removed,Volgograd,1995,2022-03-01,https://archive.ph/wip/t08bD
100684,removed,removed,Vologda,1994,2022-03-01,https://archive.ph/wip/xkz8f https://archive.ph/jzwIn
106997,removed,removed,Krasnodar,1983,2022-03-01,
101624,removed,removed,Krasnodar,1990,2022-03-01,https://archive.ph/6oKFQ https://archive.is/Dn1SB
103630,removed,removed,Dagestan,1983,2022-03-01,https://archive.ph/Q4Q8W https://archive.ph/wip/hRyTw
103836,removed,removed,Ingushetia,1992,2022-03-01,https://archive.ph/bcIHs
103869,removed,removed,Karachay-Cherkessia,2002,2022-03-01,https://archive.ph/wip/TKjYb https://archive.ph/wip/vpNk7
104092,removed,removed,Mordovia,1981,2022-03-01,https://archive.ph/wip/fIOvn
104346,removed,removed,Tatarstan,1991,2022-03-01,https://archive.ph/9hyVJ
105330,removed,removed,Stavropol,1984,2022-03-01,https://archive.ph/luc0Q
100245,removed,removed,Astrakhan,1990,2022-03-02,https://archive.ph/LaKmU https://archive.ph/cToNE https://archive.ph/193Cm https://archive.ph/rso1W
100432,removed,removed,Bryansk,1997,2022-03-02,https://archive.ph/u2HEq https://archive.ph/v5mE7
