id,first_name,last_name,impliedEthnicity,birthYear,deathConfirmedDate,unitType,age,region,source
11842,removed,removed,removed,1992,2022-02-25,police / national guard / FSB,30,North Ossetia,
3478,removed,removed,removed,1996,2022-02-26,professional army,26,Dagestan,"https://archive.ph/LE8Up https://archive.ph/qYhsU (5)
https://archive.ph/tXS9b"
16108,removed,removed,removed,1990,2022-02-26,police / national guard / FSB,32,Nizhny Novgorod,https://archive.ph/UfrKY
2017,removed,removed,removed,1989,2022-02-27,professional army,33,Pskov,https://archive.ph/6Qvgr https://archive.ph/wip/M7vWv
10674,removed,removed,removed,1993,2022-02-27,professional army,29,Kalmykia,https://archive.ph/D3MLc
14592,removed,removed,removed,1981,2022-02-27,professional army,41,Samara,https://archive.ph/APzO0
971,removed,removed,removed,1999,2022-02-28,professional army,23,Penza,"https://archive.ph/GDtMFhttps://archive.ph/7jtcI https://archive.ph/9oNd6  https://archive.ph/wip/EKnxj
https://archive.ph/itpxj"
2010,removed,removed,removed,,2022-02-28,police / national guard / FSB,,Ingushetia,https://archive.ph/WRllR
3860,removed,removed,removed,1985,2022-02-28,professional army,37,Chelyabinsk,https://archive.ph/wip/KfiYB https://archive.ph/wip/pPhCI https://archive.ph/1RxNy
4898,removed,removed,removed,1994,2022-02-28,police / national guard / FSB,28,Ingushetia,https://archive.ph/oQ4sM
6792,removed,removed,removed,1984,2022-02-28,professional army,38,Kursk,"https://archive.ph/uHP6t https://archive.ph/7RvGy https://archive.ph/6O6cD
https://archive.md/Ind4F
https://web.archive.org/web/20230329120933/https://nasledie46.ru/wp-content/uploads/2023/01/Kurskij-voenno-istoricheskij-sbornik-22_2022-god.pdf"
8653,removed,removed,removed,1998,2022-02-28,police / national guard / FSB,24,Ingushetia,https://archive.is/0IdDQ
9466,removed,removed,removed,1987,2022-02-28,police / national guard / FSB,35,Ingushetia,
11511,removed,removed,removed,1990,2022-02-28,police / national guard / FSB,32,Ingushetia,https://archive.ph/HIxhj
11972,removed,removed,removed,,2022-02-28,police / national guard / FSB,,Dagestan,https://archive.ph/wip/1xeIY https://archive.ph/i1be4
17745,removed,removed,removed,1987,2022-02-28,police / national guard / FSB,35,Ingushetia,
18662,removed,removed,removed,1982,2022-02-28,police / national guard / FSB,40,Ingushetia,
890,removed,removed,removed,1994,2022-03-01,police / national guard / FSB,28,Vologda,https://archive.ph/wip/xkz8f https://archive.ph/jzwIn
1537,removed,removed,removed,1999,2022-03-01,professional army,23,Volgograd,https://archive.ph/wip/t08bD
2622,removed,removed,removed,1995,2022-03-01,professional army,27,Bryansk,https://archive.ph/jkeoD https://archive.ph/r9tBk
4937,removed,removed,removed,1984,2022-03-01,professional army,38,Stavropol,https://archive.ph/luc0Q
6415,removed,removed,removed,1983,2022-03-01,professional army,39,Krasnodar,
6485,removed,removed,removed,1983,2022-03-01,professional army,39,Dagestan,https://archive.ph/Q4Q8W https://archive.ph/wip/hRyTw
6902,removed,removed,removed,1981,2022-03-01,professional army,41,Mordovia,https://archive.ph/wip/fIOvn
7938,removed,removed,removed,1995,2022-03-01,professional army,27,Volgograd,https://archive.ph/wip/t08bD
8170,removed,removed,removed,1989,2022-03-01,police / national guard / FSB,33,Bryansk,https://archive.ph/IC4gx https://archive.ph/zGj2h https://archive.ph/b8jEj https://archive.ph/UqPVC https://archive.ph/OUNNN https://archive.ph/wz6ti
8651,removed,removed,removed,2002,2022-03-01,professional army,20,Karachay-Cherkessia,https://archive.ph/wip/TKjYb https://archive.ph/wip/vpNk7
10205,removed,removed,removed,1990,2022-03-01,professional army,32,Krasnodar,https://archive.ph/6oKFQ https://archive.is/Dn1SB
11990,removed,removed,removed,1982,2022-03-01,,40,Astrakhan,https://archive.ph/cM6ys https://archive.ph/006mt https://archive.ph/pKfyL https://archive.ph/TpKdg
14426,removed,removed,removed,1997,2022-03-01,professional army,25,Bryansk,https://archive.ph/IC4gx https://archive.ph/GLqrW https://archive.ph/IQKtk
15557,removed,removed,removed,1991,2022-03-01,professional army,31,Tatarstan,https://archive.ph/9hyVJ
17163,removed,removed,removed,1992,2022-03-01,,30,Ingushetia,https://archive.ph/bcIHs
1526,removed,removed,removed,1990,2022-03-02,professional army,32,Astrakhan,https://archive.ph/LaKmU https://archive.ph/cToNE https://archive.ph/193Cm https://archive.ph/rso1W
1560,removed,removed,removed,1987,2022-03-02,,35,Kabardino-Balkaria,https://archive.ph/WH4G https://archive.ph/6RWSE
3759,removed,removed,removed,1991,2022-03-02,police / national guard / FSB,31,Kabardino-Balkaria,https://archive.ph/lPWgT https://archive.ph/86qKu
5138,removed,removed,removed,2003,2022-03-02,professional army,19,Rostov,https://archive.ph/wip/U4p87 https://archive.ph/wip/FlKh2 https://archive.ph/wip/dLzEV https://archive.ph/wip/9JppM https://archive.ph/wip/ggk5c https://archive.ph/V7XVK
5640,removed,removed,removed,1985,2022-03-02,professional army,37,Tatarstan,"https://archive.ph/wip/9Y9M1
https://archive.ph/wip/qYs2t
(внимание! полуразложившиеся останки без ретуши! с ретушью в твите выше)
"
7136,removed,removed,removed,1989,2022-03-02,police / national guard / FSB,33,Kabardino-Balkaria,https://archive.ph/lPWgT
7610,removed,removed,removed,1970,2022-03-02,police / national guard / FSB,52,Kabardino-Balkaria,https://archive.ph/lPWgT
7907,removed,removed,removed,1988,2022-03-02,professional army,34,Stavropol,
9066,removed,removed,removed,1973,2022-03-02,police / national guard / FSB,49,Kabardino-Balkaria,https://archive.ph/WH4GH https://archive.ph/aLMYr
10256,removed,removed,removed,1997,2022-03-02,professional army,25,Voronezh,https://archive.ph/yojec https://archive.ph/Y4iEf
11745,removed,removed,removed,1992,2022-03-02,professional army,30,Krasnodar,https://archive.ph/wip/fKS0N https://archive.ph/iXlxJ
11746,removed,removed,removed,1982,2022-03-02,professional army,40,Krasnodar,https://archive.ph/wip/fKS0N https://archive.ph/iXlxJ
12622,removed,removed,removed,1979,2022-03-02,professional army,43,Moscow Oblast,https://archive.ph/I3sjO
14701,removed,removed,removed,1986,2022-03-02,professional army,36,Rostov,https://archive.ph/wip/A4y1E
16754,removed,removed,removed,1980,2022-03-02,professional army,42,Chechnya,https://archive.ph/wip/dvrav https://archive.ph/wip/NkS2c
18226,removed,removed,removed,2000,2022-03-02,professional army,22,Saratov,"https://archive.is/QB7a5
https://archive.ph/zqJ7U 
https://archive.ph/FGDO5 
https://archive.ph/tjgdl"
18538,removed,removed,removed,1997,2022-03-02,professional army,25,Bryansk,https://archive.ph/u2HEq https://archive.ph/v5mE7
19961,removed,removed,removed,1973,2022-03-02,,49,Kabardino-Balkaria,https://archive.ph/WH4GH
2252,removed,removed,removed,,2022-03-03,professional army,,Nizhny Novgorod,https://archive.ph/wip/AU9pa web/20220721101303/https://vk.com/id93044341?w=wall93044341_19440
5012,removed,removed,removed,1985,2022-03-03,professional army,37,Belgorod,https://archive.ph/I9ONp https://archive.ph/uO2nQ
5668,removed,removed,removed,2000,2022-03-03,professional army,22,Krasnodar,https://archive.ph/LeNnC
6897,removed,removed,removed,1986,2022-03-03,professional army,36,Astrakhan,https://archive.ph/wip/dvrav
7962,removed,removed,removed,1972,2022-03-03,professional army,50,Chelyabinsk,"https://archive.is/NYl1e 
https://archive.ph/wip/3i1lP
https://archive.ph/XU6Fe"
8547,removed,removed,removed,1998,2022-03-03,professional army,24,Kirov,https://archive.ph/wip/DqEmR https://archive.ph/RiGtz https://archive.ph/wip/81VFm
14502,removed,removed,removed,1993,2022-03-03,professional army,29,Moscow Oblast,https://archive.ph/wip/Suknk
17052,removed,removed,removed,1990,2022-03-03,professional army,32,Moscow Oblast,
967,removed,removed,removed,1992,2022-03-04,,30,Ingushetia,
2501,removed,removed,removed,2002,2022-03-04,professional army,20,Zabaykalsky,https://archive.ph/d1tgE https://archive.ph/FJ7Ho https://archive.ph/pnHL8 https://archive.ph/wip/BY5FT
2857,removed,removed,removed,1990,2022-03-04,professional army,32,Stavropol,
3738,removed,removed,removed,1994,2022-03-04,professional army,28,Tatarstan,
5792,removed,removed,removed,,2022-03-04,professional army,,North Ossetia,https://archive.ph/wip/G3lEK https://archive.ph/IMn5j
6512,removed,removed,removed,2000,2022-03-04,professional army,22,Sakha,https://archive.ph/xEBhd https://archive.ph/K1iDH
8289,removed,removed,removed,1996,2022-03-04,professional army,26,Bashkortostan,https://archive.ph/wip/WfWHK https://archive.ph/wip/ccAWv https://archive.ph/3o03e https://archive.ph/wip/4BeNi
9019,removed,removed,removed,1981,2022-03-04,professional army,41,Sverdlovsk,https://archive.ph/KN6YX
10549,removed,removed,removed,1984,2022-03-04,,38,Dagestan,https://archive.ph/5zWID
11275,removed,removed,removed,1995,2022-03-04,professional army,27,North Ossetia,
12296,removed,removed,removed,1996,2022-03-04,professional army,26,Bashkortostan,https://archive.ph/wip/mTO6Q https://archive.ph/3o03e https://archive.ph/wip/efNWW
12958,removed,removed,removed,1994,2022-03-04,professional army,28,Stavropol,https://archive.is/6nAH5 https://archive.ph/wip/WxGC8 https://archive.ph/wip/OWktV
15451,removed,removed,removed,1991,2022-03-04,police / national guard / FSB,31,Novosibirsk,https://archive.ph/sTqbK
