region,regNameISO,svo_vyplaty_10Feb,vyplaty_pogibshim_10Feb,skolko_vyplachivayut_za_pogibshego_soldata_18Apr,pogib_na_ukraine_19Apr,vyplaty_pogibshim_19Apr,shengenskaya_viza_19Apr,vyplaty_na_detey_19Apr
Белгородская область,BEL,186,100,91,66,103,47,110
Брянская область,BRY,145,269,81,137,190,47,166
Владимирская область,VLA,92,90,150,94,91,58,128
Воронежская область,VOR,142,111,121,86,103,51,117
Ивановская область,IVA,116,111,130,196,101,60,142
Калужская область,KLU,97,108,92,75,88,72,122
Костромская область,KOS,174,171,119,147,146,43,127
Курская область,KRS,164,174,127,314,170,39,146
Липецкая область,LIP,84,133,175,110,109,44,112
Московская область,MOS,62,53,51,59,53,147,72
Орловская область,ORL,107,144,295,148,160,87,151
Рязанская область,RYA,105,82,83,96,97,56,118
Смоленская область,SMO,143,193,121,85,157,50,126
Тамбовская область,TAM,161,148,67,109,107,42,176
Тверская область,TVE,102,123,104,182,136,68,123
Тульская область,TUL,99,98,78,82,81,60,159
Ярославская область,YAR,70,95,51,114,82,88,104
г.Москва,MOW,57,47,37,56,47,169,58
Республика Карелия,KR,154,100,124,201,144,125,112
Республика Коми,KO,86,75,187,165,112,49,113
Hенецкий авт.округ,NEN,91,156,255,141,114,59,96
Архангельская область без автономии,ARK,92,107,255,204,171,67,121
Вологодская область,VLG,103,112,183,160,123,54,118
Калининградская область,KGD,188,158,117,116,159,200,96
Ленинградская область,LEN,73,54,56,67,55,180,72
Мурманская область,MUR,211,112,101,109,141,92,90
Новгородская область,NGR,90,126,93,83,105,92,129
Псковская область,PSK,139,149,130,134,174,75,133
г.Санкт-Петербург,SPE,67,49,54,62,51,192,66
Республика Адыгея,AD,340,169,124,69,119,58,196
Республика Калмыкия,KL,117,215,84,87,184,80,125
Республика Крым,UA-43,239,90,60,46,65,40,145
Краснодарский край,KDA,131,112,118,90,110,86,138
Астраханская область,AST,119,150,83,150,154,77,121
Волгоградская область,VGG,137,207,228,188,185,44,160
Ростовская область,ROS,211,135,173,97,131,74,132
г.Севастополь,UA-40,288,77,12,47,64,56,123
Республика Дагестан,DA,101,83,44,67,97,36,196
Республика Ингушетия,IN,77,40,,55,23,39,222
Кабардино-Балкарская Республика,KB,116,139,14,56,77,47,177
Карачаево-Черкесская Республика,KC,218,88,68,85,62,92,187
Республика Северная Осетия- Алания,SE,213,166,109,126,95,85,199
Чеченская Республика,CE,233,74,,22,48,60,143
Ставропольский край,STA,208,187,72,80,123,52,158
Республика Башкортостан,BA,78,88,92,152,87,70,84
Республика Марий Эл,ME,78,108,119,138,124,39,116
Республика Мордовия,MO,111,134,165,145,120,35,113
Республика Татарстан,TA,60,57,89,106,64,78,74
Удмуртская Республика,UD,58,77,38,89,73,57,87
Чувашская Республика,CU,75,103,49,92,69,43,85
Пермский край,PER,80,109,98,112,93,64,110
Кировская область,KIR,83,108,86,340,102,46,111
Hижегородская область,NIZ,97,80,93,122,93,64,94
Оренбургская область,ORE,77,142,331,172,176,38,106
Пензенская область,PNZ,114,158,79,117,137,38,111
Самарская область,SAM,100,181,106,92,114,66,109
Саратовская область,SAR,86,152,158,278,139,41,114
Ульяновская область,ULY,81,122,206,107,135,50,112
Курганская область,KGN,84,158,144,144,145,26,107
Свердловская область,SVE,109,134,83,98,117,73,89
Ханты-Мансийский авт.округ-Югра,KHM,75,72,124,79,64,55,82
Ямало-Hенецкий авт.округ,YAN,83,85,22,78,62,65,81
Тюменская область без автономии,TYU,80,95,122,87,95,61,108
Челябинская область,CHE,97,129,115,94,107,58,103
Республика Алтай,AL,78,105,73,177,166,19,145
Республика Тыва,TY,245,174,150,76,197,46,151
Республика Хакасия,KK,54,112,73,218,178,24,116
Алтайский край,ALT,91,124,266,149,169,44,135
Красноярский край,KYA,122,142,252,148,154,55,129
Иркутская область,IRK,88,96,185,158,145,47,128
Кемеровская область,KEM,100,149,227,123,174,42,88
Новосибирская область,NVS,84,121,127,114,108,70,110
Омская область,OMS,115,163,204,143,149,56,118
Томская область,TOM,93,101,86,104,105,49,100
Республика Бурятия,BU,166,209,246,255,283,43,148
Республика Саха,SA,109,55,56,83,118,51,86
Забайкальский край,ZAB,250,216,286,248,353,22,189
Камчатский край,KAM,222,89,,104,142,46,130
Приморский край,PRI,194,167,112,104,214,59,128
Хабаровский край,KHA,146,93,64,78,112,54,133
Амурская область,AMU,113,121,109,120,175,39,119
Магаданская область,MAG,263,219,129,115,267,77,76
Сахалинская область,SAK,287,163,18,96,159,38,114
Еврейская автономная область,YEV,316,91,66,103,200,38,137
Чукотский авт.округ,CHU,352,345,,96,127,9,161
